ID,Name,Value1,Value2
1,QAHFT,80,0.65
2,RXCKA,69,0.01
3,FNAFQ,4,0.42
4,OFPVA,51,0.49
5,USIEY,76,0.43
6,ICCWP,73,0.36
7,USNZJ,85,0.89
8,OVQWP,4,0.46
9,SBFHC,11,0.15
10,GCHQJ,83,0.18
11,JFGYQ,55,0.52
12,PESEJ,18,0.65
13,ZQORV,60,0.62
14,UFAIG,24,0.92
15,FYWIR,7,0.77
16,KXLGG,34,0.46
17,OGPXK,49,0.83
18,FZNCB,42,0.59
19,CQUKB,28,0.32
20,JZNZW,59,0.25
21,ASRNG,42,0.93
22,QCLLY,44,0.28
23,WGNEX,98,0.45
24,WHQPD,49,0.75
25,TOUNA,36,0.57
26,IAYWV,97,0.67
27,HBWYC,54,0.34
28,MBTTD,33,0.49
29,MOGWL,11,0.33
30,FOSFI,61,0.49
31,ZQLND,3,0.35
32,FIPFF,96,0.26
33,BQFXW,70,0.28
34,BGRFD,7,0.6
35,YOMUU,45,0.88
36,ECLLM,29,0.56
37,SRZCK,84,0.52
38,IWGEL,9,0.19
39,KHGYL,100,0.24
40,WOBZV,84,0.41
41,ZYWEM,6,0.56
42,FKBJZ,97,0.24
43,GULKY,4,0.48
44,ZOSEH,32,0.71
45,ZPOTB,26,0.45
46,PNWEY,3,0.02
47,CEPRG,80,0.29
48,DXGPQ,20,0.4
49,KPNYF,31,0.24
50,SGKRH,17,0.66
51,ITBLZ,61,0.37
52,ZBFGY,86,0.55
53,WWJEV,15,0.34
54,SPZRA,73,1.0
55,VHRYD,28,0.55
56,DCOHP,60,0.35
57,SFQGM,90,0.45
58,XVCLH,33,0.31
59,AUQGT,99,0.23
60,OLABW,48,0.72
61,XOVPD,22,0.32
62,DIXUW,78,0.74
63,XFGCU,78,0.95
64,WKQEY,96,0.69
65,WZVWA,92,0.19
66,TIYUW,15,0.74
67,VGUCW,100,0.28
68,WFVLH,21,0.59
69,UFAFI,40,0.76
70,WZHQK,14,0.6
71,ZNYCZ,75,0.98
72,EZGCL,4,0.83
73,SIPNK,40,0.3
74,OGSAY,74,0.36
75,NSTRJ,87,0.3
76,BRIIW,49,0.71
77,SHIKK,51,0.13
78,HDKYR,92,0.05
79,XQHOA,26,0.05
80,HLPRM,10,0.29
81,LFMXU,76,0.94
82,ECNQI,89,0.64
83,VTRFF,81,0.75
84,AGMWB,32,0.1
85,KQFSM,14,0.01
86,GRATU,90,0.28
87,CLEYN,99,0.48
88,BGWLU,39,0.34
89,RZPYX,88,0.97
90,PSNVO,77,0.25
91,XTMGG,16,0.86
92,QTNQH,73,0.11
93,CHHIO,6,0.07
94,DGSSB,45,0.49
95,KOKFK,69,0.58
96,XPSWT,55,0.69
97,JAJTW,85,0.15
98,YKTOP,48,0.81
99,FFLAI,9,0.95
100,RKEMD,65,0.09
